(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Guayaquil hasta diciembre 2022,6887.0,1060.0,0.0,945.0,4490.0,4628.0,67.0,-205.0,0.0,67.0,23.0,110.0,192.0,6206.0,5362.0,0.0,30.0,0.0,220.0,502.0,13.0,75.0,3.0,681.0,483.0,0.0,80.0,0.0,8.0,110.0,0.0,110.0,6887.0,1895.0,8782.0,
Variación Banco Guayaquil Monto hasta diciembre 2022,523.0,49.0,0.0,-33.0,498.0,498.0,21.0,-22.0,0.0,1.0,-3.0,-1.0,11.0,443.0,351.0,0.0,-20.0,0.0,46.0,44.0,-4.0,25.0,1.0,79.0,33.0,0.0,7.0,0.0,3.0,35.0,0.0,35.0,523.0,221.0,744.0,
Variación Banco Guayaquil % hasta diciembre 2022,8.2,4.9,0.0,-3.4,12.5,12.1,47.1,12.2,0.0,0.9,-10.3,-0.5,6.1,7.7,7.0,0.0,-39.6,0.0,26.4,9.6,-25.0,50.1,80.7,13.1,7.4,0.0,10.2,0.0,53.8,47.5,0.0,47.5,8.2,13.2,9.3,
Variación Total Sistema Monto hasta diciembre 2022,4487.0,311.0,0.0,-787.0,4611.0,4765.0,164.0,-318.0,17.0,2.0,4.0,31.0,299.0,3940.0,2437.0,0.0,-1.0,17.0,310.0,856.0,193.0,98.0,31.0,547.0,152.0,-1.0,125.0,0.0,2.0,269.0,-8.0,276.0,4487.0,2407.0,6894.0,
"Variación Total Sistema %
 hasta diciembre 2022",8.6,3.4,0.0,-9.6,14.7,14.4,25.1,13.7,1387.1,0.3,3.5,3.9,14.9,8.4,5.9,0.0,-0.4,1387.1,16.8,30.9,148.2,19.1,15.0,9.9,3.8,-52.2,15.2,1.1,0.8,61.2,-14.7,71.3,8.6,17.0,10.4,
Total Sistema hasta septiembre 2024,65659.0,8731.0,0.0,9941.0,41587.0,42916.0,1639.0,-2968.0,21.0,1127.0,119.0,778.0,3356.0,58726.0,49980.0,0.0,175.0,21.0,2666.0,4656.0,299.0,566.0,363.0,6934.0,5097.0,1.0,986.0,2.0,353.0,495.0,26.0,469.0,0.0,65659.0,19606.0,85266.0
Guayaquil hasta septiembre 2024,8164.0,910.0,0.0,1271.0,5439.0,5483.0,143.0,-186.0,0.0,95.0,12.0,112.0,326.0,7385.0,6014.0,0.0,12.0,0.0,292.0,942.0,44.0,75.0,7.0,779.0,592.0,0.0,103.0,0.0,7.0,76.0,0.0,76.0,0.0,8164.0,2307.0,10471.0
Variación Banco Guayaquil Monto hasta septiembre 2024,345.0,-21.0,0.0,114.0,216.0,211.0,-10.0,15.0,0.0,12.0,-1.0,2.0,23.0,319.0,104.0,0.0,-9.0,0.0,39.0,188.0,-3.0,0.0,-1.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,345.0,23.0,368.0
Variación Banco Guayaquil % hasta septiembre 2024,4.4,-2.2,0.0,9.9,4.1,4.0,-6.5,-7.7,-100.0,13.9,-8.2,2.2,7.6,4.5,1.8,0.0,-42.9,-100.0,15.6,24.9,-5.7,0.0,-7.5,3.5,0.0,0.0,0.0,0.0,-1.2,52.8,0.0,52.8,0.0,4.4,1.0,3.6
Variación Total Sistema Monto hasta septiembre 2024,2442.0,464.0,0.0,792.0,906.0,804.0,106.0,-3.0,-8.0,150.0,4.0,-12.0,147.0,2261.0,1794.0,0.0,10.0,-8.0,286.0,228.0,-30.0,-14.0,-6.0,182.0,56.0,0.0,-44.0,0.0,9.0,161.0,-16.0,177.0,0.0,2442.0,146.0,2588.0
